"","Team","G","Date","X3","Opponent","X5","X6","Tm","Opp","W","L","Streak","Notes"
"91","San Antonio Spurs",9,"Fri Nov 11 2016",NA,"Detroit Pistons","W",NA,96,86,6,3,"W 1",NA
"92","San Antonio Spurs",10,"Sat Nov 12 2016","@","Houston Rockets","W",NA,106,100,7,3,"W 2",NA
"93","San Antonio Spurs",11,"Mon Nov 14 2016",NA,"Miami Heat","W",NA,94,90,8,3,"W 3",NA
"94","San Antonio Spurs",12,"Wed Nov 16 2016","@","Sacramento Kings","W",NA,110,105,9,3,"W 4",NA
"95","San Antonio Spurs",13,"Fri Nov 18 2016","@","Los Angeles Lakers","W",NA,116,107,10,3,"W 5",NA
"96","San Antonio Spurs",14,"Mon Nov 21 2016",NA,"Dallas Mavericks","W",NA,96,91,11,3,"W 6",NA
"97","San Antonio Spurs",15,"Wed Nov 23 2016","@","Charlotte Hornets","W",NA,119,114,12,3,"W 7",NA
"98","San Antonio Spurs",16,"Fri Nov 25 2016","@","Boston Celtics","W",NA,109,103,13,3,"W 8",NA
"99","San Antonio Spurs",17,"Sat Nov 26 2016","@","Washington Wizards","W",NA,112,100,14,3,"W 9",NA
"100","San Antonio Spurs",18,"Tue Nov 29 2016",NA,"Orlando Magic","L",NA,83,95,14,4,"L 1",NA
"101","San Antonio Spurs",19,"Wed Nov 30 2016","@","Dallas Mavericks","W",NA,94,87,15,4,"W 1",NA
"102","San Antonio Spurs",20,"Fri Dec 2 2016",NA,"Washington Wizards","W",NA,107,105,16,4,"W 2",NA
"103","San Antonio Spurs",21,"Mon Dec 5 2016","@","Milwaukee Bucks","W",NA,97,96,17,4,"W 3",NA
"104","San Antonio Spurs",22,"Tue Dec 6 2016","@","Minnesota Timberwolves","W",NA,105,91,18,4,"W 4",NA
"105","San Antonio Spurs",23,"Thu Dec 8 2016","@","Chicago Bulls","L",NA,91,95,18,5,"L 1",NA
"106","San Antonio Spurs",24,"Sat Dec 10 2016",NA,"Brooklyn Nets","W",NA,130,101,19,5,"W 1",NA
"107","San Antonio Spurs",25,"Wed Dec 14 2016",NA,"Boston Celtics","W",NA,108,101,20,5,"W 2",NA
"108","San Antonio Spurs",26,"Thu Dec 15 2016","@","Phoenix Suns","W",NA,107,92,21,5,"W 3",NA
"109","San Antonio Spurs",27,"Sun Dec 18 2016",NA,"New Orleans Pelicans","W",NA,113,100,22,5,"W 4",NA
"110","San Antonio Spurs",28,"Tue Dec 20 2016","@","Houston Rockets","W",NA,102,100,23,5,"W 5",NA
"111","San Antonio Spurs",29,"Thu Dec 22 2016","@","Los Angeles Clippers","L",NA,101,106,23,6,"L 1",NA
"112","San Antonio Spurs",30,"Fri Dec 23 2016","@","Portland Trail Blazers","W",NA,110,90,24,6,"W 1",NA
"113","San Antonio Spurs",31,"Sun Dec 25 2016",NA,"Chicago Bulls","W",NA,119,100,25,6,"W 2",NA
"114","San Antonio Spurs",32,"Wed Dec 28 2016",NA,"Phoenix Suns","W",NA,119,98,26,6,"W 3",NA
"115","San Antonio Spurs",33,"Fri Dec 30 2016",NA,"Portland Trail Blazers","W",NA,110,94,27,6,"W 4",NA
"116","San Antonio Spurs",34,"Sun Jan 1 2017","@","Atlanta Hawks","L","OT",112,114,27,7,"L 1",NA
"117","San Antonio Spurs",35,"Tue Jan 3 2017",NA,"Toronto Raptors","W",NA,110,82,28,7,"W 1",NA
"118","San Antonio Spurs",36,"Thu Jan 5 2017","@","Denver Nuggets","W",NA,127,99,29,7,"W 2",NA
"119","San Antonio Spurs",37,"Sat Jan 7 2017",NA,"Charlotte Hornets","W",NA,102,85,30,7,"W 3",NA
"120","San Antonio Spurs",38,"Tue Jan 10 2017",NA,"Milwaukee Bucks","L",NA,107,109,30,8,"L 1",NA
"121","San Antonio Spurs",39,"Thu Jan 12 2017",NA,"Los Angeles Lakers","W",NA,134,94,31,8,"W 1",NA
"122","San Antonio Spurs",40,"Sat Jan 14 2017","@","Phoenix Suns","L",NA,105,108,31,9,"L 1","at Mexico City Mexico"
"123","San Antonio Spurs",41,"Tue Jan 17 2017",NA,"Minnesota Timberwolves","W",NA,122,114,32,9,"W 1",NA
"124","San Antonio Spurs",42,"Thu Jan 19 2017",NA,"Denver Nuggets","W",NA,118,104,33,9,"W 2",NA
"125","San Antonio Spurs",43,"Sat Jan 21 2017","@","Cleveland Cavaliers","W","OT",118,115,34,9,"W 3",NA
"126","San Antonio Spurs",44,"Mon Jan 23 2017","@","Brooklyn Nets","W",NA,112,86,35,9,"W 4",NA
"127","San Antonio Spurs",45,"Tue Jan 24 2017","@","Toronto Raptors","W",NA,108,106,36,9,"W 5",NA
"128","San Antonio Spurs",46,"Fri Jan 27 2017","@","New Orleans Pelicans","L",NA,103,119,36,10,"L 1",NA
"129","San Antonio Spurs",47,"Sun Jan 29 2017",NA,"Dallas Mavericks","L",NA,101,105,36,11,"L 2",NA
"130","San Antonio Spurs",48,"Tue Jan 31 2017",NA,"Oklahoma City Thunder","W",NA,108,94,37,11,"W 1",NA
"131","San Antonio Spurs",49,"Thu Feb 2 2017",NA,"Philadelphia 76ers","W",NA,102,86,38,11,"W 2",NA
"132","San Antonio Spurs",50,"Sat Feb 4 2017",NA,"Denver Nuggets","W",NA,121,97,39,11,"W 3",NA
"133","San Antonio Spurs",51,"Mon Feb 6 2017","@","Memphis Grizzlies","L",NA,74,89,39,12,"L 1",NA
"134","San Antonio Spurs",52,"Wed Feb 8 2017","@","Philadelphia 76ers","W",NA,111,103,40,12,"W 1",NA
"135","San Antonio Spurs",53,"Fri Feb 10 2017","@","Detroit Pistons","W",NA,103,92,41,12,"W 2",NA
"136","San Antonio Spurs",54,"Sun Feb 12 2017","@","New York Knicks","L",NA,90,94,41,13,"L 1",NA
"137","San Antonio Spurs",55,"Mon Feb 13 2017","@","Indiana Pacers","W",NA,110,106,42,13,"W 1",NA
"138","San Antonio Spurs",56,"Wed Feb 15 2017","@","Orlando Magic","W",NA,107,79,43,13,"W 2",NA
"139","San Antonio Spurs",57,"Fri Feb 24 2017","@","Los Angeles Clippers","W",NA,105,97,44,13,"W 3",NA
"140","San Antonio Spurs",58,"Sun Feb 26 2017","@","Los Angeles Lakers","W",NA,119,98,45,13,"W 4",NA
"141","San Antonio Spurs",59,"Wed Mar 1 2017",NA,"Indiana Pacers","W",NA,100,99,46,13,"W 5",NA
"142","San Antonio Spurs",60,"Fri Mar 3 2017","@","New Orleans Pelicans","W","OT",101,98,47,13,"W 6",NA
"143","San Antonio Spurs",61,"Sat Mar 4 2017",NA,"Minnesota Timberwolves","W","OT",97,90,48,13,"W 7",NA
"144","San Antonio Spurs",62,"Mon Mar 6 2017",NA,"Houston Rockets","W",NA,112,110,49,13,"W 8",NA
"145","San Antonio Spurs",63,"Wed Mar 8 2017",NA,"Sacramento Kings","W",NA,114,104,50,13,"W 9",NA
"146","San Antonio Spurs",64,"Thu Mar 9 2017","@","Oklahoma City Thunder","L",NA,92,102,50,14,"L 1",NA
"147","San Antonio Spurs",65,"Sat Mar 11 2017",NA,"Golden State Warriors","W",NA,107,85,51,14,"W 1",NA
"148","San Antonio Spurs",66,"Mon Mar 13 2017",NA,"Atlanta Hawks","W",NA,107,99,52,14,"W 2",NA
"149","San Antonio Spurs",67,"Wed Mar 15 2017",NA,"Portland Trail Blazers","L",NA,106,110,52,15,"L 1",NA
"150","San Antonio Spurs",68,"Sat Mar 18 2017","@","Memphis Grizzlies","L",NA,96,104,52,16,"L 2",NA
"151","San Antonio Spurs",69,"Sun Mar 19 2017",NA,"Sacramento Kings","W",NA,118,102,53,16,"W 1",NA
"152","San Antonio Spurs",70,"Tue Mar 21 2017","@","Minnesota Timberwolves","W",NA,100,93,54,16,"W 2",NA
"153","San Antonio Spurs",71,"Thu Mar 23 2017",NA,"Memphis Grizzlies","W",NA,97,90,55,16,"W 3",NA
"154","San Antonio Spurs",72,"Sat Mar 25 2017",NA,"New York Knicks","W",NA,106,98,56,16,"W 4",NA
"155","San Antonio Spurs",73,"Mon Mar 27 2017",NA,"Cleveland Cavaliers","W",NA,103,74,57,16,"W 5",NA
"156","San Antonio Spurs",74,"Wed Mar 29 2017",NA,"Golden State Warriors","L",NA,98,110,57,17,"L 1",NA
"157","San Antonio Spurs",75,"Fri Mar 31 2017","@","Oklahoma City Thunder","W",NA,100,95,58,17,"W 1",NA
"158","San Antonio Spurs",76,"Sun Apr 2 2017",NA,"Utah Jazz","W",NA,109,103,59,17,"W 2",NA
"159","San Antonio Spurs",77,"Tue Apr 4 2017",NA,"Memphis Grizzlies","W","OT",95,89,60,17,"W 3",NA
"160","San Antonio Spurs",78,"Wed Apr 5 2017",NA,"Los Angeles Lakers","L",NA,95,102,60,18,"L 1",NA
"161","San Antonio Spurs",79,"Fri Apr 7 2017","@","Dallas Mavericks","W",NA,102,89,61,18,"W 1",NA
"162","San Antonio Spurs",80,"Sat Apr 8 2017",NA,"Los Angeles Clippers","L",NA,87,98,61,19,"L 1",NA
"163","San Antonio Spurs",81,"Mon Apr 10 2017","@","Portland Trail Blazers","L",NA,98,99,61,20,"L 2",NA
"164","San Antonio Spurs",82,"Wed Apr 12 2017","@","Utah Jazz","L",NA,97,101,61,21,"L 3",NA
"165","Houston Rockets",1,"Wed Oct 26 2016","@","Los Angeles Lakers","L",NA,114,120,0,1,"L 1",NA
"166","Houston Rockets",2,"Fri Oct 28 2016","@","Dallas Mavericks","W",NA,106,98,1,1,"W 1",NA
"167","Houston Rockets",3,"Sun Oct 30 2016",NA,"Dallas Mavericks","W",NA,93,92,2,1,"W 2",NA
"168","Houston Rockets",4,"Tue Nov 1 2016","@","Cleveland Cavaliers","L",NA,120,128,2,2,"L 1",NA
"169","Houston Rockets",5,"Wed Nov 2 2016","@","New York Knicks","W",NA,118,99,3,2,"W 1",NA
"170","Houston Rockets",6,"Sat Nov 5 2016","@","Atlanta Hawks","L",NA,97,112,3,3,"L 1",NA
"171","Houston Rockets",7,"Mon Nov 7 2016","@","Washington Wizards","W",NA,114,106,4,3,"W 1",NA
"172","Houston Rockets",8,"Wed Nov 9 2016","@","San Antonio Spurs","W",NA,101,99,5,3,"W 2",NA
"173","Houston Rockets",9,"Sat Nov 12 2016",NA,"San Antonio Spurs","L",NA,100,106,5,4,"L 1",NA
"174","Houston Rockets",10,"Mon Nov 14 2016",NA,"Philadelphia 76ers","W",NA,115,88,6,4,"W 1",NA
"175","Houston Rockets",11,"Wed Nov 16 2016","@","Oklahoma City Thunder","L",NA,103,105,6,5,"L 1",NA
"176","Houston Rockets",12,"Thu Nov 17 2016",NA,"Portland Trail Blazers","W",NA,126,109,7,5,"W 1",NA
"177","Houston Rockets",13,"Sat Nov 19 2016",NA,"Utah Jazz","W",NA,111,102,8,5,"W 2",NA
"178","Houston Rockets",14,"Mon Nov 21 2016","@","Detroit Pistons","W",NA,99,96,9,5,"W 3",NA
"179","Houston Rockets",15,"Wed Nov 23 2016",NA,"Toronto Raptors","L",NA,102,115,9,6,"L 1",NA
"180","Houston Rockets",16,"Fri Nov 25 2016","@","Sacramento Kings","W",NA,117,104,10,6,"W 1",NA
"181","Houston Rockets",17,"Sun Nov 27 2016","@","Portland Trail Blazers","W",NA,130,114,11,6,"W 2",NA
"182","Houston Rockets",18,"Tue Nov 29 2016","@","Utah Jazz","L",NA,101,120,11,7,"L 1",NA
"183","Houston Rockets",19,"Thu Dec 1 2016","@","Golden State Warriors","W","2OT",132,127,12,7,"W 1",NA
"184","Houston Rockets",20,"Fri Dec 2 2016","@","Denver Nuggets","W",NA,128,110,13,7,"W 2",NA
"185","Houston Rockets",21,"Mon Dec 5 2016",NA,"Boston Celtics","W",NA,107,106,14,7,"W 3",NA
"186","Houston Rockets",22,"Wed Dec 7 2016",NA,"Los Angeles Lakers","W",NA,134,95,15,7,"W 4",NA
"187","Houston Rockets",23,"Fri Dec 9 2016","@","Oklahoma City Thunder","W",NA,102,99,16,7,"W 5",NA
"188","Houston Rockets",24,"Sat Dec 10 2016",NA,"Dallas Mavericks","W",NA,109,87,17,7,"W 6",NA
"189","Houston Rockets",25,"Mon Dec 12 2016",NA,"Brooklyn Nets","W",NA,122,118,18,7,"W 7",NA
"190","Houston Rockets",26,"Wed Dec 14 2016",NA,"Sacramento Kings","W",NA,132,98,19,7,"W 8",NA
"191","Houston Rockets",27,"Fri Dec 16 2016",NA,"New Orleans Pelicans","W",NA,122,100,20,7,"W 9",NA
"192","Houston Rockets",28,"Sat Dec 17 2016","@","Minnesota Timberwolves","W","OT",111,109,21,7,"W 10",NA
"193","Houston Rockets",29,"Tue Dec 20 2016",NA,"San Antonio Spurs","L",NA,100,102,21,8,"L 1",NA
"194","Houston Rockets",30,"Wed Dec 21 2016","@","Phoenix Suns","W",NA,125,111,22,8,"W 1",NA
"195","Houston Rockets",31,"Fri Dec 23 2016","@","Memphis Grizzlies","L",NA,109,115,22,9,"L 1",NA
"196","Houston Rockets",32,"Mon Dec 26 2016",NA,"Phoenix Suns","W",NA,131,115,23,9,"W 1",NA
"197","Houston Rockets",33,"Tue Dec 27 2016","@","Dallas Mavericks","W",NA,123,107,24,9,"W 2",NA
"198","Houston Rockets",34,"Fri Dec 30 2016",NA,"Los Angeles Clippers","W",NA,140,116,25,9,"W 3",NA
"199","Houston Rockets",35,"Sat Dec 31 2016",NA,"New York Knicks","W",NA,129,122,26,9,"W 4",NA
"200","Houston Rockets",36,"Mon Jan 2 2017",NA,"Washington Wizards","W",NA,101,91,27,9,"W 5",NA
"201","Houston Rockets",37,"Thu Jan 5 2017",NA,"Oklahoma City Thunder","W",NA,118,116,28,9,"W 6",NA
"202","Houston Rockets",38,"Fri Jan 6 2017","@","Orlando Magic","W",NA,100,93,29,9,"W 7",NA
"203","Houston Rockets",39,"Sun Jan 8 2017","@","Toronto Raptors","W",NA,129,122,30,9,"W 8",NA
"204","Houston Rockets",40,"Tue Jan 10 2017",NA,"Charlotte Hornets","W",NA,121,114,31,9,"W 9",NA
"205","Houston Rockets",41,"Wed Jan 11 2017","@","Minnesota Timberwolves","L",NA,105,119,31,10,"L 1",NA
"206","Houston Rockets",42,"Fri Jan 13 2017",NA,"Memphis Grizzlies","L",NA,105,110,31,11,"L 2",NA
"207","Houston Rockets",43,"Sun Jan 15 2017","@","Brooklyn Nets","W",NA,137,112,32,11,"W 1",NA
"208","Houston Rockets",44,"Tue Jan 17 2017","@","Miami Heat","L",NA,103,109,32,12,"L 1",NA
"209","Houston Rockets",45,"Wed Jan 18 2017",NA,"Milwaukee Bucks","W",NA,111,92,33,12,"W 1",NA
"210","Houston Rockets",46,"Fri Jan 20 2017",NA,"Golden State Warriors","L",NA,108,125,33,13,"L 1",NA
"211","Houston Rockets",47,"Sat Jan 21 2017","@","Memphis Grizzlies","W",NA,119,95,34,13,"W 1",NA
"212","Houston Rockets",48,"Mon Jan 23 2017","@","Milwaukee Bucks","L",NA,114,127,34,14,"L 1",NA
"213","Houston Rockets",49,"Wed Jan 25 2017","@","Boston Celtics","L",NA,109,120,34,15,"L 2",NA
"214","Houston Rockets",50,"Fri Jan 27 2017","@","Philadelphia 76ers","W",NA,123,118,35,15,"W 1",NA
"215","Houston Rockets",51,"Sun Jan 29 2017","@","Indiana Pacers","L",NA,101,120,35,16,"L 1",NA
"216","Houston Rockets",52,"Tue Jan 31 2017",NA,"Sacramento Kings","W",NA,105,83,36,16,"W 1",NA
"217","Houston Rockets",53,"Thu Feb 2 2017",NA,"Atlanta Hawks","L",NA,108,113,36,17,"L 1",NA
"218","Houston Rockets",54,"Fri Feb 3 2017",NA,"Chicago Bulls","W","OT",121,117,37,17,"W 1",NA
"219","Houston Rockets",55,"Tue Feb 7 2017",NA,"Orlando Magic","W",NA,128,104,38,17,"W 2",NA
"220","Houston Rockets",56,"Thu Feb 9 2017","@","Charlotte Hornets","W",NA,107,95,39,17,"W 3",NA
"221","Houston Rockets",57,"Sat Feb 11 2017",NA,"Phoenix Suns","W",NA,133,102,40,17,"W 4",NA
"222","Houston Rockets",58,"Wed Feb 15 2017",NA,"Miami Heat","L",NA,109,117,40,18,"L 1",NA
"223","Houston Rockets",59,"Thu Feb 23 2017","@","New Orleans Pelicans","W",NA,129,99,41,18,"W 1",NA
"224","Houston Rockets",60,"Sat Feb 25 2017",NA,"Minnesota Timberwolves","W",NA,142,130,42,18,"W 2",NA
"225","Houston Rockets",61,"Mon Feb 27 2017",NA,"Indiana Pacers","L",NA,108,117,42,19,"L 1",NA
"226","Houston Rockets",62,"Wed Mar 1 2017","@","Los Angeles Clippers","W",NA,122,103,43,19,"W 1",NA
"227","Houston Rockets",63,"Sat Mar 4 2017",NA,"Memphis Grizzlies","W",NA,123,108,44,19,"W 2",NA
"228","Houston Rockets",64,"Mon Mar 6 2017","@","San Antonio Spurs","L",NA,110,112,44,20,"L 1",NA
